Идентификатор DOI *,Количество авторов *,Фамилия *,Имя *,Количество аффиляций *,Аффиляция *,Контрибьюция *,Дата публикации *,Наименование публикации *,Наименование издания *,Библиографическая ссылка *,Вид издания  *
10.3103/S0967091223040083,2,Aleksashina, O.V.,1,Moscow Polytechnic University,0.5,2023,Electrochemical Protection of Cross Country Pipelines,Steel in Translation,"Grinyuk, O.N., Aleksashina, O.V. Electrochemical Protection of Cross Country Pipelines (2023) Steel in Translation, 53 (4), pp. 288-290",Статья
10.1134/S0040579523020100,3,Karlov, S.P.,1,Moscow Polytechnic University,0.33,2023,Cases of Transformation of the Equations of Motion of an Incompressible Viscous Fluid into the Euler Equations,Theoretical Foundations of Chemical Engineering,"Soloviev, A.V., Karlov, S.P., Shkarin, N.Y. Cases of Transformation of the Equations of Motion of an Incompressible Viscous Fluid into the Euler Equations (2023) Theoretical Foundations of Chemical Engineering, 57 (2), pp. 224-230",Статья
10.3390/met13040802,5,Akopyan, T.K.,2,"Department of Metal Forming, Sector of Scientific Activity",0.1,2023,Description of the New Eutectic Al-Ca-Cu System in the Aluminum Corner,Metals,"Akopyan, T.K., Belov, N.A., Letyagin, N.V., Cherkasov, S.O., Nguen, X.D. Description of the New Eutectic Al-Ca-Cu System in the Aluminum Corner (2023) Metals, 13 (4), Статья № 802",Статья
10.3390/app13084671,7,Klyuev, R.V.,1,Technique and Technology of Mining and Oil and Gas Production Department,0.14,2023,Reducing Oscillations in Suspension of Mine Monorail Track,Applied Sciences (Switzerland),"Gutarevich, V.O., Martyushev, N.V., Klyuev, R.V., Kukartsev, V.A., Kukartsev, V.V., Iushkova, L.V., Korpacheva, L.N. Reducing Oscillations in Suspension of Mine Monorail Track (2023) Applied Sciences (Switzerland), 13 (8), Статья № 4671",Статья
10.1134/S0036024423040234,6,Podobayev, A.N.,1,Moscow Polytechnic University,0.17,2023,Inhibition of the Formation of Pyrophoric Corrosion Deposits,Russian Journal of Physical Chemistry A,"Reformatskaya, I.I., Begishev, I.R., Ascheulova, I.I., Podobayev, A.N., Petrilin, D.A., Baburin, A.V. Inhibition of the Formation of Pyrophoric Corrosion Deposits (2023) Russian Journal of Physical Chemistry A, 97 (4), pp. 781-784",Статья
10.3103/S1052618823020061,5,"Petrov, Burlakov, Toan"," P.A.,  I.A.,  N.K.",2,"Moscow Polytechnic University, Moscow Polytechnic University, Salyut Machine-Building Production Association, Moscow Polytechnic University",0.5,2023,Determining the Effect of the Sliding Velocity on Contact Friction under Upsetting with Torsion,Journal of Machinery Manufacture and Reliability,"Petrov, P.A., Burlakov, I.A., Gladkov, Y.A., Gartvig, A.A., Toan, N.K. Determining the Effect of the Sliding Velocity on Contact Friction under Upsetting with Torsion (2023) Journal of Machinery Manufacture and Reliability, 52 (2), pp. 120-128",Статья
10.3390/resources12040050,6,Klyuev, R.V.,1,Department of Technique and Technology of Mining and Oil and Gas Production,0.17,2023,Modern Technologies Providing a Full Cycle of Geo-Resources Development,Resources,"Kongar-Syuryun, C.B., Aleksakhin, A.V., Eliseeva, E.N., Zhaglovskaya, A.V., Klyuev, R.V., Petrusevich, D.A. Modern Technologies Providing a Full Cycle of Geo-Resources Development (2023) Resources, 12 (4), Статья № 50",Статья
10.1016/j.jeurceramsoc.2022.11.036,7,Moskovskikh, D.,2,"National University of Science and Technology MISiS, Moscow Polytechnic University",0.07,2023,Low-temperature reactive spark plasma sintering of dense SiC-Ti3SiC2 ceramics,Journal of the European Ceramic Society,"Podbolotov, K., Moskovskikh, D., Abedi, M., Suvorova, V., Nepapushev, A., Ostrikov, K.K., Khort, A. Low-temperature reactive spark plasma sintering of dense SiC-Ti3SiC2 ceramics (2023) Journal of the European Ceramic Society, 43 (4), pp. 1343-1351",Статья
10.1016/j.msea.2022.144508,5,Golovin, I.S.,2,"Department of Physical Metallurgy of Non-Ferrous Metals, Moscow Polytechnic University",0.1,2023,Superior ductility Mg-Mn extrusion alloys at room temperature obtained by controlling Mn content,Materials Science and Engineering: A,"Li, C.C., Xia, Z.H., Qiao, X.G., Golovin, I.S., Zheng, M.Y. Superior ductility Mg-Mn extrusion alloys at room temperature obtained by controlling Mn content (2023) Materials Science and Engineering: A, 869, Статья № 144508",Статья
10.1021/acs.jpcb.2c07189,16,Shakina, Y.V.,1,Moscow Polytechnic University (Mospolytech),0.06,2023,"Stages of OCP-FRP Interactions in the Regulation of Photoprotection in Cyanobacteria, Part 1: Time-Resolved Spectroscopy",Journal of Physical Chemistry B,"Tsoraev, G.V., Bukhanko, A., Budylin, G.S., Shirshin, E.A., Slonimskiy, Y.B., Sluchanko, N.N., Kloz, M., Cherepanov, D.A., Shakina, Y.V., Ge, B., Moldenhauer, M., Friedrich, T., Golub, M., Pieper, J., Maksimov, E.G., Rubin, A.B. Stages of OCP-FRP Interactions in the Regulation of Photoprotection in Cyanobacteria, Part 1: Time-Resolved Spectroscopy (2023) Journal of Physical Chemistry B, 127 (9), pp. 1890-1900",Статья
10.17507/jltr.1402.02,6,Panova, E.,1,Moscow Polytechnic University,0.17,2023,Distance Learning in Teaching the Russian Language (the Experience of Tashkent State University),Journal of Language Teaching and Research,"Panova, E., Tiumentseva, E., Jumanova, Z., Dustmamatova, N., Gorokhova, A., Sekerin, V. Distance Learning in Teaching the Russian Language (the Experience of Tashkent State University) (2023) Journal of Language Teaching and Research, 14 (2), pp. 278-285",Статья
10.24000/0409-2961-2023-3-22-26,2,Podobayev, A.N.,1,Moscow Polytechnic University,0.5,2023,Corrosion Fatigue of Copper in Aqueous Media,Bezopasnost' Truda v Promyshlennosti,"Reformatskaya, I.I., Podobayev, A.N. Corrosion Fatigue of Copper in Aqueous Media (2023) Bezopasnost' Truda v Promyshlennosti, 2023 (3), pp. 22-26",Статья
10.24000/0409-2961-2023-3-57-61,2,Kalpina, N.Yu.,1,Moscow Polytechnic University,0.5,2023,The System for Protecting Air Environment of the Welding Work Area Using Restorative Ventilation,Bezopasnost' Truda v Promyshlennosti,"Sotnikova, E.V., Kalpina, N.Yu. The System for Protecting Air Environment of the Welding Work Area Using Restorative Ventilation (2023) Bezopasnost' Truda v Promyshlennosti, 2023 (3), pp. 57-61",Статья
10.32744/pse.2023.2.36,2,Chvyakin, V.A.,1,Department of Advertising and Public Relations in the Media Industry,0.5,2023,Professional self-realization of a university teacher in an online communication educational environment [Профессиональная самореализация преподавателя вуза в онлайн-коммуникационной образовательной среде],Perspektivy Nauki i Obrazovania,"Kozilova, L.V., Chvyakin, V.A. Professional self-realization of a university teacher in an online communication educational environment [Профессиональная самореализация преподавателя вуза в онлайн-коммуникационной образовательной среде] (2023) Perspektivy Nauki i Obrazovania, 62 (2), pp. 610-623",Статья
10.35716/IJED/22295,6,Shelygov, A.,1,Moscow Polytechnic University,0.17,2023,Effects of the EAEU's Agricultural Policy on the Organic Farming Market of Kazakhstan,Indian Journal of Economics and Development,"Liu, Y., Ermolaeva, E., Ksenofontova, T., Shelygov, A., Borodulin, D., Aleshkov, A. Effects of the EAEU's Agricultural Policy on the Organic Farming Market of Kazakhstan (2023) Indian Journal of Economics and Development, 19 (1), pp. 80-90",Статья
10.18280/ijsdp.180305,7,Sekerin, V.,1,Department of Economics and Organization,0.14,2023,Developing Methods for Assessing the Introduction of Smart Technologies into the Socio-Economic Sphere Within the Framework of Open Innovation,International Journal of Sustainable Development and Planning,"Kirillova, E., Otcheskiy, I., Ivanova, S., Verkhovod, A., Stepanova, D., Karlibaeva, R., Sekerin, V. Developing Methods for Assessing the Introduction of Smart Technologies into the Socio-Economic Sphere Within the Framework of Open Innovation (2023) International Journal of Sustainable Development and Planning, 18 (3), pp. 693-702",Статья
10.1007/s11015-023-01478-4,6,Makarenkov, D.A.,2,"National Research Center “Kurchatov Institute” – IREA, Moscow Polytechnic University",0.08,2023,Influence of the Adsorption Characteristics of Crushed and Mechanically Activated Powdered Chemical Power Sources on the Efficiency of Producing Cobalt and Lithium Compounds by Leaching and Extraction,Metallurgist,"Nazarov, V.I., Retivov, V.M., Makarenkov, D.A., Pochitalkina, I.A., Aflyatunova, G.R., Trubachev, N.Y. Influence of the Adsorption Characteristics of Crushed and Mechanically Activated Powdered Chemical Power Sources on the Efficiency of Producing Cobalt and Lithium Compounds by Leaching and Extraction (2023) Metallurgist, 66 (11-12), pp. 1625-1634",Статья
10.3103/S1068798X23040342,3,Prokop’ev, A.Y.,1,Moscow Polytechnic University,0.33,2023,Cutting of Special Stainless Steel Thrust-Bearing Components,Russian Engineering Research,"Volkov, R.B., Kuznetsov, V.A., Prokop’ev, A.Y. Cutting of Special Stainless Steel Thrust-Bearing Components (2023) Russian Engineering Research, 43 (3), pp. 376-378",Статья
10.3103/S1068798X23040160,3,"Kogan, Vartanov, Nguyen"," E.A.,  M.V.,  V.L.",1,"Moscow Polytechnic University, Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Deformation of Flexible Parts in Robotic Assembly,Russian Engineering Research,"Kogan, E.A., Vartanov, M.V., Nguyen, V.L. Deformation of Flexible Parts in Robotic Assembly (2023) Russian Engineering Research, 43 (3), pp. 386-389",Статья
10.3103/S1068798X23040093,4,Prokop’ev, A.Y.,1,Moscow Polytechnic University,0.25,2023,Grinding Special Stainless Steel Bearings,Russian Engineering Research,"Golobokov, A.V., Kuznetsov, V.A., Smirnov, A.V., Prokop’ev, A.Y. Grinding Special Stainless Steel Bearings (2023) Russian Engineering Research, 43 (3), pp. 373-375",Статья
10.1007/s11015-023-01473-9,2,"Shatalov, Kulikov"," R.L.,  M.A.",1,"Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Determining the Hardening Curve and Mechanical Properties of Rolled Strips of Tin-Phosphorus Bronze (BrOF6.5–0.15),Metallurgist,"Shatalov, R.L., Kulikov, M.A. Determining the Hardening Curve and Mechanical Properties of Rolled Strips of Tin-Phosphorus Bronze (BrOF6.5–0.15) (2023) Metallurgist, 66 (11-12), pp. 1582-1589",Статья
10.1007/s11015-023-01462-y,5,"Golik, Klyuev"," V.I.,  R.V.",2,"Moscow Polytechnic University, Geophysical Institute of Vladikavkaz Scientific Center, Moscow Polytechnic University",0.3,2023,Technology for Nonwaste Recovery of Tailings of the Mizur Mining and Processing Plant,Metallurgist,"Golik, V.I., Klyuev, R.V., Martyushev, N.V., Zyukin, D.A., Karlina, A.I. Technology for Nonwaste Recovery of Tailings of the Mizur Mining and Processing Plant (2023) Metallurgist, 66 (11-12), pp. 1476-1480",Статья
10.3390/membranes13030312,13,Milovich, F.,2,"Department of Materials Science, Department of Materials Science of Semiconductors and Dielectrics",0.04,2023,"Stability of the Structural and Transport Characteristics of (ZrO2)0.99−x(Sc2O3)x(R2O3)0.01 (R–Yb, Y, Tb, Gd) Electrolytic Membranes to High-Temperature Exposure",Membranes,"Agarkov, D., Borik, M., Korableva, G., Kulebyakin, A., Kuritsyna, I., Larina, N., Lomonova, E., Milovich, F., Myzina, V., Ryabochkina, P., Tabachkova, N., Volkova, T., Zakharov, D. Stability of the Structural and Transport Characteristics of (ZrO2)0.99−x(Sc2O3)x(R2O3)0.01 (R–Yb, Y, Tb, Gd) Electrolytic Membranes to High-Temperature Exposure (2023) Membranes, 13 (3), Статья № 312",Статья
10.3390/pr11030774,6,"Doronin, Rytikov, Evdokimov, Rudyak, Taranets, Nazarov"," F.,  G.,  A.,  Y.,  I.,  V.",1,"Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry",1.0,2023,The Effect of Electro-Induced Multi-Gas Modification on Polymer Substrates’ Surface Structure for Additive Manufacturing,Processes,"Doronin, F., Rytikov, G., Evdokimov, A., Rudyak, Y., Taranets, I., Nazarov, V. The Effect of Electro-Induced Multi-Gas Modification on Polymer Substrates’ Surface Structure for Additive Manufacturing (2023) Processes, 11 (3), Статья № 774",Статья
10.3390/cryst13030528,7,Klyuev, R.V.,1,Technique and Technology of Mining and Oil and Gas Production Department,0.14,2023,Complex Assessment of X-ray Diffraction in Crystals with Face-Centered Silicon Carbide Lattice,Crystals,"Bosikov, I.I., Martyushev, N.V., Klyuev, R.V., Tynchenko, V.S., Kukartsev, V.A., Eremeeva, S.V., Karlina, A.I. Complex Assessment of X-ray Diffraction in Crystals with Face-Centered Silicon Carbide Lattice (2023) Crystals, 13 (3), Статья № 528",Статья
10.3390/ma16062365,1,Golovin, I.S.,2,"National University of Science and Technology MISIS, Moscow Polytechnic University",0.5,2023,Anelastic Effects in Fe–Ga and Fe–Ga-Based Alloys: A Review,Materials,"Golovin, I.S. Anelastic Effects in Fe–Ga and Fe–Ga-Based Alloys: A Review (2023) Materials, 16 (6), Статья № 2365",Обзор
10.3390/en16062596,3,Radionov, A.A.,1,Department of Automation and Control,0.33,2023,Operating Modes Optimization for the Boiler Units of Industrial Steam Plants,Energies,"Varganova, A.V., Khramshin, V.R., Radionov, A.A. Operating Modes Optimization for the Boiler Units of Industrial Steam Plants (2023) Energies, 16 (6), Статья № 2596",Статья
10.13187/bg.2023.1.137,3,"Kokorina, Vagabov"," Y.G.,  M.M.",1,"Moscow Polytechnic University, Moscow Polytechnic University",0.67,2023,I.E. Zabelin as an Archaeologist-Practitioner: Look a Century Later [И.Е. Забелин как археолог-практик: взгляд столетие спустя],Bylye Gody,"Kokorina, Y.G., Vagabov, M.M., Akimova, A.A. I.E. Zabelin as an Archaeologist-Practitioner: Look a Century Later [И.Е. Забелин как археолог-практик: взгляд столетие спустя] (2023) Bylye Gody, 18 (1), pp. 137-148",Статья
10.3390/s23062960,6,Shvetsov, A.V.,2,"Department of Smart Technologies, Faculty of Road Transport",0.08,2023,NOMA-Based VLC Systems: A Comprehensive Review,Sensors,"Mohsan, S.A.H., Sadiq, M., Li, Y., Shvetsov, A.V., Shvetsova, S.V., Shafiq, M. NOMA-Based VLC Systems: A Comprehensive Review (2023) Sensors, 23 (6), Статья № 2960",Обзор
10.3390/s23062946,6,Shvetsov, A.V.,2,"Department of Smart Technologies, Faculty of Transport Technologies",0.08,2023,"A Survey of Deep Learning Based NOMA: State of the Art, Key Aspects, Open Challenges and Future Trends",Sensors,"Mohsan, S.A.H., Li, Y., Shvetsov, A.V., Varela-Aldás, J., Mostafa, S.M., Elfikky, A. A Survey of Deep Learning Based NOMA: State of the Art, Key Aspects, Open Challenges and Future Trends (2023) Sensors, 23 (6), Статья № 2946",Обзор
10.3390/axioms12030300,4,"Ershov, Malahov, Levina"," D.,  A.,  T.",2,"Metrology Scientific Head Center, Department of “Standartizaion, Metrology Scientific Head Center, Department of “Standartizaion, Department of “Standartizaion",0.5,2023,"Mathematical Models of the Processes of Operation, Renewal and Degradation of a Fleet of Complex Technical Systems with Metrological Support",Axioms,"Khayrullin, R., Ershov, D., Malahov, A., Levina, T. Mathematical Models of the Processes of Operation, Renewal and Degradation of a Fleet of Complex Technical Systems with Metrological Support (2023) Axioms, 12 (3), Статья № 300",Статья
10.3390/ceramics6010044,5,"Merzlikin, Safonov, Kostyukov, Parshina"," V.,  E.,  A.,  S.",4,"Department of Economics of Industry, Department of Technology and Equipment of Mechanical Engineering, Faculty of Mechanical Engineering, Department of Power Plants for Transport and Small-Scale Power Generation, Department of Technology and Equipment of Mechanical Engineering",0.7,2023,Affect of the Scattering Asymmetry by Structural Element of Thermal- or Environmental-Barrier Ceramics on Subsurface Radiant Overheating,Ceramics,"Merzlikin, V., Safonov, E., Kostyukov, A., Parshina, S., Dokukina, A. Affect of the Scattering Asymmetry by Structural Element of Thermal- or Environmental-Barrier Ceramics on Subsurface Radiant Overheating (2023) Ceramics, 6 (1), pp. 717-733",Статья
10.3390/ceramics6010009,4,Smirnov, A.D.,1,Center of Collective Usage “High-Tech Chemical Technologies”,0.25,2023,Porous Alumina-Bentonite Ceramics: Effects of Fillers and Molding Technique,Ceramics,"Smirnov, A.D., Kholodkova, A.A., Rybalchenko, V.V., Tarasovskii, V.P. Porous Alumina-Bentonite Ceramics: Effects of Fillers and Molding Technique (2023) Ceramics, 6 (1), pp. 132-145",Статья
10.3390/fire6030095,7,Klyuev, R.V.,1,Technique and Technology of Mining and Oil and Gas Production Department,0.14,2023,Modeling and Complex Analysis of the Topology Parameters of Ventilation Networks When Ensuring Fire Safety While Developing Coal and Gas Deposits,Fire,"Bosikov, I.I., Martyushev, N.V., Klyuev, R.V., Savchenko, I.A., Kukartsev, V.V., Kukartsev, V.A., Tynchenko, Y.A. Modeling and Complex Analysis of the Topology Parameters of Ventilation Networks When Ensuring Fire Safety While Developing Coal and Gas Deposits (2023) Fire, 6 (3), Статья № 95",Статья
10.1142/S1793292023500157,9,Nalivaiko, A.Y.,1,Moscow Polytechnic University,0.11,2023,"Ni-Co-Cu/Carbon Nanocomposites: Synthesis, Characterization and Magnetic Properties",Nano,"Gromov, A.A., Yakushko, E.V., Muratov, D.G., Kozitov, L.V., Lomov, A.A., Nalivaiko, A.Y., Ozherelkov, D.Y., Pelevin, I.A., Marinich, S.B. Ni-Co-Cu/Carbon Nanocomposites: Synthesis, Characterization and Magnetic Properties (2023) Nano, 18 (3), Статья № 2350015",Статья
10.1007/s00170-023-10807-5,6,Radionova, L.,1,Moscow Polytechnic University,0.17,2023,Metallurgical and mechanical attributes of gas metal arc welded high-strength low-alloy steel,International Journal of Advanced Manufacturing Technology,"Zhao, D., Bezgans, Y., Vdonin, N., Radionova, L., Glebov, L., Bykov, V. Metallurgical and mechanical attributes of gas metal arc welded high-strength low-alloy steel (2023) International Journal of Advanced Manufacturing Technology, 125 (3-4), pp. 1305-1323",Статья
10.1016/j.matlet.2022.133731,5,Golovin, I.S.,3,"Université de Lorraine, National University of Science and Technology “MISIS”, Moscow Polytechnic University",0.07,2023,Kinetics of the L12 ↔ D019 transition for Fe3Ga-type alloy determined by in situ electrical resistivity,Materials Letters,"Mouas, M., Fazel, N., Gasser, F., Golovin, I.S., Gasser, J.-G. Kinetics of the L12 ↔ D019 transition for Fe3Ga-type alloy determined by in situ electrical resistivity (2023) Materials Letters, 334, Статья № 133731",Статья
10.1002/jctb.7284,7,Moskovskikh, D.,2,"Science and Research Centre of Functional Nano-Ceramics, Moscow Polytechnic University",0.07,2023,Low energy synthesis of anhydrite cement from waste lime mud,Journal of Chemical Technology and Biotechnology,"Kamarou, M., Moskovskikh, D., Chan, H.L., Wang, H., Li, T., Akinwande, A.A., Romanovski, V. Low energy synthesis of anhydrite cement from waste lime mud (2023) Journal of Chemical Technology and Biotechnology, 98 (3), pp. 789-796",Статья
10.1016/j.jallcom.2022.167967,6,Golovin, I.S.,2,"National University of Science and Technology “MISIS”, Moscow Polytechnic University",0.08,2023,Comparative study of structures and phase transitions in Fe–(31−35) at% Ga alloys by in situ neutron diffraction,Journal of Alloys and Compounds,"Vershinina, T.N., Samoylova, N.Y., Sumnikov, S.V., Balagurov, A.M., Palacheva, V.V., Golovin, I.S. Comparative study of structures and phase transitions in Fe–(31−35) at% Ga alloys by in situ neutron diffraction (2023) Journal of Alloys and Compounds, 934, Статья № 167967",Статья
10.3103/S0967091223020183,2,"Volgina, Gertsyk"," N.I.,  S.I.",1,"Moscow Polytechnic University, Moscow Polytechnic University",1.0,2023,Sources of Continuous Welded Rail Tracks Troubles,Steel in Translation,"Volgina, N.I., Gertsyk, S.I. Sources of Continuous Welded Rail Tracks Troubles (2023) Steel in Translation, 53 (2), pp. 101-106",Статья
10.1134/S2635167623010081,5,Ovchinnikova, A.M.,1,Moscow Polytechnic University,0.2,2023,A Study of the Processes of the Cultivation and Useful Products Accumulation by the Microalgae Chlorella vulgaris in a Photobioreactor with a Fiber-Optic Lighting System,Nanobiotechnology Reports,"Ovchinnikova, A.M., Sukhinov, D.V., Romanov, A.O., Pozhidaev, V.M., Gotovtsev, P.M. A Study of the Processes of the Cultivation and Useful Products Accumulation by the Microalgae Chlorella vulgaris in a Photobioreactor with a Fiber-Optic Lighting System (2023) Nanobiotechnology Reports, 18 (1), pp. 98-104",Статья
10.1134/S2635167623010093,8,Petrova, M.G.,2,"National Research Center “Kurchatov Institute”, Moscow Polytechnic University",0.06,2023,Simultaneous Cultivation of Microalgae Chlorella vulgaris with a Polymer Material Based on Chitosan for the Sorption of Heavy Metals and Biomass,Nanobiotechnology Reports,"Petrova, M.G., Pozhidaev, V.M., Tikhomirov, S.A., Kondratev, O.A., Antipova, K.G., Bakirov, A.V., Grigoriev, T.E., Gorin, K.V. Simultaneous Cultivation of Microalgae Chlorella vulgaris with a Polymer Material Based on Chitosan for the Sorption of Heavy Metals and Biomass (2023) Nanobiotechnology Reports, 18 (1), pp. 80-84",Статья
10.1134/S2635167623010020,6,Gasanovna, M.P.,2,"National Research Center “Kurchatov Institute”, Moscow Polytechnic University",0.08,2023,Increasing the Productivity of Chlorella vulgaris Microalgae Through the Use of a Hydrogel With Nanoparticles,Nanobiotechnology Reports,"Gorin, K.V., Pozhidaev, V.M., Tikhomirov, S.A., Kondratev, O.A., Gasanovna, M.P., Vasilov, R.G. Increasing the Productivity of Chlorella vulgaris Microalgae Through the Use of a Hydrogel With Nanoparticles (2023) Nanobiotechnology Reports, 18 (1), pp. 85-90",Статья
10.1134/S2635167623010032,11,Petrova, M.G.,2,"National Research Center “Kurchatov Institute”, Moscow Polytechnic University",0.05,2023,Technologies Based on Phototrophic Microorganisms As a Promising Way to Achieve Carbon Neutrality in Urban Agglomerations,Nanobiotechnology Reports,"Gotovtsev, P.M., Gorin, K.V., Sergeeva, Y.E., Parunova, Y.M., Vishnevskaya, M.V., Sukhinov, D.V., Petrova, M.G., Migalev, A.S., Pozhidaev, V.M., Gaeva, T.N., Vasilov, R.G. Technologies Based on Phototrophic Microorganisms As a Promising Way to Achieve Carbon Neutrality in Urban Agglomerations (2023) Nanobiotechnology Reports, 18 (1), pp. 3-11",Обзор
10.1134/S0031918X23700138,8,Letyagin, N.V.,2,"National University of Science and Technology MISiS, Moscow Polytechnical University",0.06,2023,Comparative Сharacteristics of the Structure and Functional Properties of Coatings Formed on Aluminum Alloys 2ххх and 7ххх Series by the Method of Plasma Electrolytic Oxidation,Physics of Metals and Metallography,"Letyagin, N.V., Sokorev, A.A., Kokarev, V.N., Shatrov, A.S., Tsydenov, A.G., Finogeev, A.S., Musin, A.F., Petrzhik, M.I. Comparative Сharacteristics of the Structure and Functional Properties of Coatings Formed on Aluminum Alloys 2ххх and 7ххх Series by the Method of Plasma Electrolytic Oxidation (2023) Physics of Metals and Metallography, 124 (2), pp. 238-244",Статья
10.1134/S0040579523010074,5,"Khramtsov, Sulyagina, Pokusaev, Vyazmin, Nekrasov"," D.P.,  O.A.,  B.G.,  A.V.,  D.A.",2,"Moscow Polytechnic University, RTU MIREA—Russian Technological University, Moscow Polytechnic University, Moscow Polytechnic University, RTU MIREA—Russian Technological University, Moscow Polytechnic University, RTU MIREA—Russian Technological University, Moscow Polytechnic University, RTU MIREA—Russian Technological University",0.6,2023,Unsteady-State Mass Transfer in Gels with Microorganisms,Theoretical Foundations of Chemical Engineering,"Khramtsov, D.P., Sulyagina, O.A., Pokusaev, B.G., Vyazmin, A.V., Nekrasov, D.A. Unsteady-State Mass Transfer in Gels with Microorganisms (2023) Theoretical Foundations of Chemical Engineering, 57 (1), pp. 67-76",Статья
10.3390/machines11020252,4,"Radionova, Gromov"," L.V.,  D.V.",1,"Department of Metallurgy, Department of Metallurgy",0.5,2023,Experimental Determination and Calculation of the Wire Drawing Force in Monolithic Dies on Straight-Line Drawing Machines,Machines,"Radionova, L.V., Gromov, D.V., Lisovskiy, R.A., Erdakov, I.N. Experimental Determination and Calculation of the Wire Drawing Force in Monolithic Dies on Straight-Line Drawing Machines (2023) Machines, 11 (2), Статья № 252",Статья
10.3390/ma16041490,10,Moskovskikh, D.O.,2,"Center of Functional Nano-Ceramics, Research Laboratory of Scanning Probe Microscopy",0.05,2023,Combustion Synthesis and Reactive Spark Plasma Sintering of Non-Equiatomic CoAl-Based High Entropy Intermetallics,Materials,"Kuskov, K.V., Nepapushev, A.A., Aydinyan, S., Shaysultanov, D.G., Stepanov, N.D., Nazaretyan, K., Kharatyan, S., Zakharova, E.V., Belov, D.S., Moskovskikh, D.O. Combustion Synthesis and Reactive Spark Plasma Sintering of Non-Equiatomic CoAl-Based High Entropy Intermetallics (2023) Materials, 16 (4), Статья № 1490",Статья
10.3390/machines11020276,6,Gasiyarov, V.R.,1,Department of Automation and Control,0.17,2023,Substantiating and Implementing Concept of Digital Twins for Virtual Commissioning of Industrial Mechatronic Complexes Exemplified by Rolling Mill Coilers,Machines,"Gasiyarov, V.R., Bovshik, P.A., Loginov, B.M., Karandaev, A.S., Khramshin, V.R., Radionov, A.A. Substantiating and Implementing Concept of Digital Twins for Virtual Commissioning of Industrial Mechatronic Complexes Exemplified by Rolling Mill Coilers (2023) Machines, 11 (2), Статья № 276",Статья
10.3390/coatings13020424,6,"Doronin, Evdokimov, Rudyak, Savel’ev, Nazarov"," F.,  A.,  Y.,  M.,  V.",1,"Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry, Faculty of Printing Industry",0.83,2023,Biostable Fluorine-Containing Coatings on the Surface of Polymers,Coatings,"Doronin, F., Rytikov, G., Evdokimov, A., Rudyak, Y., Savel’ev, M., Nazarov, V. Biostable Fluorine-Containing Coatings on the Surface of Polymers (2023) Coatings, 13 (2), Статья № 424",Статья
10.3390/polym15041029,6,Zadorozhnyy, M.Y.,2,"Laboratory of Functional Polymer Materials, Center for Project Activities",0.08,2023,Promising Agromaterials Based on Biodegradable Polymers: Polylactide and Poly-3-Hydroxybutyrate,Polymers,"Tertyshnaya, Y.V., Podzorova, M.V., Varyan, I.A., Tcherdyntsev, V.V., Zadorozhnyy, M.Y., Medvedeva, E.V. Promising Agromaterials Based on Biodegradable Polymers: Polylactide and Poly-3-Hydroxybutyrate (2023) Polymers, 15 (4), Статья № 1029",Статья
10.3390/s23041775,4,Gasiyarov, V.R.,1,Department of Automation and Control,0.25,2023,Fluxgate Sensor with Bifactor Excitation Mode,Sensors,"Bryakin, I.V., Bochkarev, I.V., Khramshin, V.R., Gasiyarov, V.R. Fluxgate Sensor with Bifactor Excitation Mode (2023) Sensors, 23 (4), Статья № 1775",Статья
10.3390/jmmp7010041,6,Gasiyarov, V.R.,1,Department of Automation and Control,0.17,2023,Development and Practical Implementation of Digital Observer for Elastic Torque of Rolling Mill Electromechanical System,Journal of Manufacturing and Materials Processing,"Gasiyarov, V.R., Radionov, A.A., Loginov, B.M., Karandaev, A.S., Gasiyarova, O.A., Khramshin, V.R. Development and Practical Implementation of Digital Observer for Elastic Torque of Rolling Mill Electromechanical System (2023) Journal of Manufacturing and Materials Processing, 7 (1), Статья № 41",Статья
10.3390/ma16030936,10,"Moskovskikh, Yudin, Yakushko"," D.,  S.,  E.",2,"Center of Functional Nano-Ceramics, Department of Physics, Center of Functional Nano-Ceramics, Department of Physics, Department of Physics",0.2,2023,Hard Wear-Resistant Ti-Si-C Coatings for Cu-Cr Electrical Contacts,Materials,"Kiryukhantsev-Korneev, P., Sytchenko, A., Moskovskikh, D., Kuskov, K., Volkova, L., Poliakov, M., Pogozhev, Y., Yudin, S., Yakushko, E., Nepapushev, A. Hard Wear-Resistant Ti-Si-C Coatings for Cu-Cr Electrical Contacts (2023) Materials, 16 (3), Статья № 936",Статья
10.1007/s11182-023-02820-8,1,Skobelev, V.V.,1,Moscow Polytechnic University,1.0,2023,Determination of the Probability Parameter for the System of Neutral K Mesons,Russian Physics Journal,"Skobelev, V.V. Determination of the Probability Parameter for the System of Neutral K Mesons (2023) Russian Physics Journal, 65 (10), pp. 1701-1705",Статья
