Авторы,Идентификатор автора(ов),Название,Год,Название источника,Том,Выпуск ,Статья №,Страница начала,Страница окончания,Количество страниц,Ссылка,Организации,Авторы организаций,Тип документа,Источник,EID
"Pitelinskiy K.V., Boyar-Sozonovitch A.S., Sigida M.P., Makovey S.O.","57216807744;57202859585;58265871800;58115700100;","Project transition to the digital Middle Ages via COVID-19 pattern",2023,"Proceedings of SPIE - The International Society for Optical Engineering","12637",,"126370V","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159777275&doi=10.1117%2f12.2680827&partnerID=40&md5=122c73221bc945650b082d7842aa42e0","Moscow Polytechnic University, 38, Bolshaya Semenovskaya, Moscow, 107023, Russian Federation; Moscow Aviation Institute (National Research University), 4 Volokolamskoe Highway, Moscow, 125993, Russian Federation; State Budgetary Educational Iinstitution School, 2117, 8, 40 let Oktyabrya, Moscow, 108851, Russian Federation","Pitelinskiy, K.V., Moscow Polytechnic University, 38, Bolshaya Semenovskaya, Moscow, 107023, Russian Federation; Boyar-Sozonovitch, A.S., Moscow Aviation Institute (National Research University), 4 Volokolamskoe Highway, Moscow, 125993, Russian Federation; Sigida, M.P., State Budgetary Educational Iinstitution School, 2117, 8, 40 let Oktyabrya, Moscow, 108851, Russian Federation; Makovey, S.O., Moscow Polytechnic University, 38, Bolshaya Semenovskaya, Moscow, 107023, Russian Federation",Conference Paper,Scopus,2-s2.0-85159777275
"Bezrodnykh S.I.","6507235377;","Constructing basises in solution space of the system of equations for the Lauricella Function FD(N)",2023,"Integral Transforms and Special Functions","34","11",,"813","834",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159604319&doi=10.1080%2f10652469.2023.2212396&partnerID=40&md5=2e273e59a551242874d038b4be64b20d","Moscow Polytechnic University, Moscow, Russian Federation","Bezrodnykh, S.I., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85159604319
"Korol A., Zadorozhnyy V., Zadorozhnyy M., Bazlov A., Berdonosova E., Serov M., Stepashkin A., Zheleznyi M., Novikov A., Kaloshkin S., Klyamkin S., Savvotin I.","57217729564;36171258900;53165450200;55217908000;15055174400;6603623564;6603105395;56549028600;57213909596;55550404000;7004623223;57204472832;","Production of multi-principal-component alloys by pendent-drop melt extraction",2023,"International Journal of Hydrogen Energy",,,,"","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159478582&doi=10.1016%2fj.ijhydene.2023.04.302&partnerID=40&md5=ec907435e254bf55e7ae913cf54c5e95","National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation; Moscow Polytechnic University, Bolshaya Semenovskaya St., 2, Moscow, 107023, Russian Federation; Department of Chemistry, Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Moscow Aviation Institute (National Research University), Moscow, 119049, Russian Federation; A.A.Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Moscow, Russian Federation","Korol, A., National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation; Zadorozhnyy, V., National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation; Zadorozhnyy, M., National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation, Moscow Polytechnic University, Bolshaya Semenovskaya St., 2, Moscow, 107023, Russian Federation; Bazlov, A., National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation; Berdonosova, E., Department of Chemistry, Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Serov, M., Moscow Aviation Institute (National Research University), Moscow, 119049, Russian Federation; Stepashkin, A., National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation; Zheleznyi, M., National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation, A.A.Baikov Institute of Metallurgy and Materials Science, Russian Academy of Sciences, Moscow, Russian Federation; Novikov, A., National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation; Kaloshkin, S., National University of Science and Technology “MISIS”, Leninsky Prosp., 4, Moscow, 119049, Russian Federation; Klyamkin, S., Department of Chemistry, Lomonosov Moscow State University, Moscow, 119991, Russian Federation; Savvotin, I., Department of Chemistry, Lomonosov Moscow State University, Moscow, 119991, Russian Federation",Article,Scopus,2-s2.0-85159478582
"Abdulveleev I.R., Karandaev A.S., Khramshina E.A., Liubimov I.V., Evdokimov S.A., Gasiyarov V.R.","56711989500;6508261674;57170708500;57219931219;57197973715;56512224300;","Construction Smart System for Monitoring Technical Condition of Furnace Transformer Vacuum Circuit Breaker",2023,"Proceedings - 2023 International Russian Smart Industry Conference, SmartIndustryCon 2023",,,,"509","515",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159374619&doi=10.1109%2fSmartIndustryCon57312.2023.10110723&partnerID=40&md5=4a95078865488e02065ec3360da64b34","Nosov Magnitogorsk State Technical University, Magnitogorsk, Russian Federation; South Ural State University, Chelyabinsk, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Abdulveleev, I.R., Nosov Magnitogorsk State Technical University, Magnitogorsk, Russian Federation; Karandaev, A.S., Nosov Magnitogorsk State Technical University, Magnitogorsk, Russian Federation; Khramshina, E.A., Nosov Magnitogorsk State Technical University, Magnitogorsk, Russian Federation; Liubimov, I.V., South Ural State University, Chelyabinsk, Russian Federation; Evdokimov, S.A., Nosov Magnitogorsk State Technical University, Magnitogorsk, Russian Federation; Gasiyarov, V.R., Moscow Polytechnic University, Moscow, Russian Federation",Conference Paper,Scopus,2-s2.0-85159374619
"Radionov A.A., Bovshik P.A., Loginov B.M., Karandaev A.S., Khramshin V.R.","6701841785;58124467300;57188845447;6508261674;55772478200;","Construction Principle for Object-Oriented Digital Twins of Mechatronic Complexes of Rolling Mills",2023,"Proceedings - 2023 International Russian Smart Industry Conference, SmartIndustryCon 2023",,,,"516","522",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159363964&doi=10.1109%2fSmartIndustryCon57312.2023.10110770&partnerID=40&md5=f785c9c314d9b3c6a8d45482c220a46d","Moscow Polytechnic University, Moscow, Russian Federation; Magnitogorsk Iron and Steel Works, Magnitogorsk, Russian Federation; Nosov Magnitogorsk State Technical University, Magnitogorsk, Russian Federation","Radionov, A.A., Moscow Polytechnic University, Moscow, Russian Federation; Bovshik, P.A., Magnitogorsk Iron and Steel Works, Magnitogorsk, Russian Federation; Loginov, B.M., Magnitogorsk Iron and Steel Works, Magnitogorsk, Russian Federation; Karandaev, A.S., Nosov Magnitogorsk State Technical University, Magnitogorsk, Russian Federation; Khramshin, V.R., Nosov Magnitogorsk State Technical University, Magnitogorsk, Russian Federation",Conference Paper,Scopus,2-s2.0-85159363964
"Shishkov A.N., Dudkin M.M., Le V.K., Eremin N.A.","43861781400;55755728100;58250041100;58248866200;","Neutral Point Voltage Balance Based on Space-Vector PWM with Five-Stage Sequence for Three-Level Voltage Inverter",2023,"Proceedings - 2023 International Russian Smart Industry Conference, SmartIndustryCon 2023",,,,"586","592",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159296243&doi=10.1109%2fSmartIndustryCon57312.2023.10110815&partnerID=40&md5=58e2a3a5daceba02b532bedc1ca3ff78","Moscow Polytechnic University, Department of Electrical Equipment and Industrial Electronics, Moscow, Russian Federation; South Ural State University (National Research University), Department of Electric Drives, Mechatronics and Electromechanics, Chelyabinsk, Russian Federation","Shishkov, A.N., Moscow Polytechnic University, Department of Electrical Equipment and Industrial Electronics, Moscow, Russian Federation; Dudkin, M.M., South Ural State University (National Research University), Department of Electric Drives, Mechatronics and Electromechanics, Chelyabinsk, Russian Federation; Le, V.K., Moscow Polytechnic University, Department of Electrical Equipment and Industrial Electronics, Moscow, Russian Federation; Eremin, N.A., South Ural State University (National Research University), Department of Electric Drives, Mechatronics and Electromechanics, Chelyabinsk, Russian Federation",Conference Paper,Scopus,2-s2.0-85159296243
"Ushkov A.N., Strelkov N.O., Krutskikh V.V., Chernikov A.I.","57564574000;57209389002;56439866300;57201737498;","Industrial Internet of Things Platform for Water Resource Monitoring",2023,"Proceedings - 2023 International Russian Smart Industry Conference, SmartIndustryCon 2023",,,,"593","599",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159275896&doi=10.1109%2fSmartIndustryCon57312.2023.10110776&partnerID=40&md5=6c7072d95640ff58f4fd72f7f27cc2b5","Polytechnic University, Department of Electrical Engineering, Moscow, Russian Federation; National Research University MPEI, Radio Technical Fundamentals Department, Moscow, Russian Federation","Ushkov, A.N., Polytechnic University, Department of Electrical Engineering, Moscow, Russian Federation; Strelkov, N.O., National Research University MPEI, Radio Technical Fundamentals Department, Moscow, Russian Federation; Krutskikh, V.V., National Research University MPEI, Radio Technical Fundamentals Department, Moscow, Russian Federation; Chernikov, A.I., National Research University MPEI, Radio Technical Fundamentals Department, Moscow, Russian Federation",Conference Paper,Scopus,2-s2.0-85159275896
"Maklakov A.S., Nikolaev A.A., Gasiyarov V.R., Filimonova A.A.","56511556300;56225175400;56512224300;57117893200;","Power Quality Improvement in the Grid via High-power AC Regenerative Electric Drives",2023,"Proceedings - 2023 International Russian Smart Industry Conference, SmartIndustryCon 2023",,,,"352","355",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159263189&doi=10.1109%2fSmartIndustryCon57312.2023.10110800&partnerID=40&md5=ab9b5dd3739c9fe996e54fa340ead040","South Ural State University, Chelyabinsk, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Maklakov, A.S., South Ural State University, Chelyabinsk, Russian Federation; Nikolaev, A.A., South Ural State University, Chelyabinsk, Russian Federation; Gasiyarov, V.R., Moscow Polytechnic University, Moscow, Russian Federation; Filimonova, A.A., South Ural State University, Chelyabinsk, Russian Federation",Conference Paper,Scopus,2-s2.0-85159263189
"Biryukov V., Nemtchinova E., Pavlova T., Kagosyan A., Avdeeva T.","57202906454;58245767100;56501641100;58246009000;56728055600;","DEVELOPMENT OF COMPETENCE IN THE SPHERE OF INFORMATION SECURITY TO ACHIEVE SUSTAINABLE DEVELOPMENT [DESENVOLVIMENTO DE COMPETÊNCIA NO ÂMBITO DA SEGURANÇA DA INFORMAÇÃO PARA ALCANÇAR O DESENVOLVIMENTO SUSTENTÁVEL] [DESARROLLO DE COMPETENCIAS EN EL ÁMBITO DE LA SEGURIDAD DE LA INFORMACIÓN PARA ALCANZAR EL DESARROLLO SOSTENIBLE]",2023,"Journal of Law and Sustainable Development","11","1","e0267","","",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159113847&doi=10.37497%2fsdgs.v11i1.267&partnerID=40&md5=0945b60903183110819a01dc4f659db6","Moscow Polytechnic University, Russian Federation; Russian State University of Tourism and Service, Russian Federation; Moscow Aviation Institute, Russian Federation; Gzhel State University, Russian Federation; State University of Humanities and Technology, Russian Federation","Biryukov, V., Moscow Polytechnic University, Russian Federation; Nemtchinova, E., Russian State University of Tourism and Service, Russian Federation; Pavlova, T., Moscow Aviation Institute, Russian Federation; Kagosyan, A., Gzhel State University, Russian Federation; Avdeeva, T., State University of Humanities and Technology, Russian Federation",Article,Scopus,2-s2.0-85159113847
"Shatalov R.L., Zagoskin E.E., Medvedev V.A.","6602161141;57210705090;57209602449;","Influence of temperature unevenness on the hardness, structure and defects of the piercing plug of a three-roll screw rolling 30-80 mill",2023,"Chernye Metally","2023","3",,"46","51",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159090700&doi=10.17580%2fchm.2023.03.08&partnerID=40&md5=bf2a37573563971840b0e85d549f9fdf","Moscow Polytechnic University, Moscow, Russian Federation; Bogorodsk branch of JSC NPO Pribor, Noginsk, Russian Federation","Shatalov, R.L., Moscow Polytechnic University, Moscow, Russian Federation; Zagoskin, E.E., Moscow Polytechnic University, Moscow, Russian Federation; Medvedev, V.A., Bogorodsk branch of JSC NPO Pribor, Noginsk, Russian Federation",Article,Scopus,2-s2.0-85159090700
"Fomin V.M., Apelinskiy D.V.","57204744362;57209475391;","Method for Converting the Energy Characteristics of Alternative Fuels",2023,"Materials Science Forum","1086",,,"193","198",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159039983&doi=10.4028%2fp-45k085&partnerID=40&md5=3b3282602afa1a0c13532ca4e725ddb7","Moscow Polytechnic University, Bolshaya Semyonovskaya str., 38, Moscow, 107023, Russian Federation","Fomin, V.M., Moscow Polytechnic University, Bolshaya Semyonovskaya str., 38, Moscow, 107023, Russian Federation; Apelinskiy, D.V., Moscow Polytechnic University, Bolshaya Semyonovskaya str., 38, Moscow, 107023, Russian Federation",Book Chapter,Scopus,2-s2.0-85159039983
"Letyagin N.V., Akopyan T.K., Palkin P.A., Ovchinnikov V.V.","57201442748;55809950100;57214102678;57021083300;","EFFECT OF LASER WELDING ON THE STRUCTURE AND MECHANICAL PROPERTIES OF HOT-ROLLED Al – Zn – Mg – Ca ALLOY SHEETS",2023,"Tsvetnye Metally","2023","3",,"66","72",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158944406&doi=10.17580%2ftsm.2023.03.10&partnerID=40&md5=0b2bf89a47288da89dda3b7f44181d67","National University of Science and Technology MISiS, Moscow, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Letyagin, N.V., National University of Science and Technology MISiS, Moscow, Russian Federation, Moscow Polytechnic University, Moscow, Russian Federation; Akopyan, T.K., National University of Science and Technology MISiS, Moscow, Russian Federation, Moscow Polytechnic University, Moscow, Russian Federation; Palkin, P.A., National University of Science and Technology MISiS, Moscow, Russian Federation; Ovchinnikov, V.V., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85158944406
"Shemyakin A.N., Rachkov M.Yu., Solovyov N.G., Yakimov M.Yu., Kotov M.A.","12762288900;6602166808;57224959668;56210519000;55848892500;","Dynamic Characteristics Determination of the Radiation Power Control System for the Industrial CO2 Laser Excited by а Nonself-Sustained Glow Discharge [Определение динамических характеристик системы управления мощностью излучения технологических СО2-лазеров с накачкой несамостоятельным тлеющим разрядом]",2023,"Mekhatronika, Avtomatizatsiya, Upravlenie","24","4",,"199","205",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158874472&doi=10.17587%2fmau.24.199-205&partnerID=40&md5=6296fdfe623cc94a8dc66fdea2b1b146","Ishlinsky Institute for Problems in Mechanics, The Russian Academy of Sciences, Moscow, 119526, Russian Federation; Moscow State Polytechnic University, Moscow, 107023, Russian Federation","Shemyakin, A.N., Ishlinsky Institute for Problems in Mechanics, The Russian Academy of Sciences, Moscow, 119526, Russian Federation; Rachkov, M.Yu., Moscow State Polytechnic University, Moscow, 107023, Russian Federation; Solovyov, N.G., Ishlinsky Institute for Problems in Mechanics, The Russian Academy of Sciences, Moscow, 119526, Russian Federation; Yakimov, M.Yu., Ishlinsky Institute for Problems in Mechanics, The Russian Academy of Sciences, Moscow, 119526, Russian Federation; Kotov, M.A., Ishlinsky Institute for Problems in Mechanics, The Russian Academy of Sciences, Moscow, 119526, Russian Federation",Article,Scopus,2-s2.0-85158874472
"Umirzakova Z., Akhmetova L., Saenko N., Barakhanova N.","57216592313;56644606300;57094013500;58241627400;","Writing an argumentative essay: the use of meta-discursive didactic sequences to improve students' skills",2023,"XLinguae","16","2",,"298","310",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158855594&doi=10.18355%2fXL.2023.16.02.22&partnerID=40&md5=e7e2ea97919477e982465bc08998e714","Department of General Education Disciplines, International University of Tourism and Hospitality, Turkestan, Kazakhstan; Department of Foreign Languages, Kazan Federal University, Elabuga, Russian Federation; Department of Humanities, Moscow Polytechnic University, Moscow, Russian Federation; Department of Philology, Nerungri Technical Institute (branch) of North-Eastern Federal University, Nerungri, Russian Federation","Umirzakova, Z., Department of General Education Disciplines, International University of Tourism and Hospitality, Turkestan, Kazakhstan; Akhmetova, L., Department of Foreign Languages, Kazan Federal University, Elabuga, Russian Federation; Saenko, N., Department of Humanities, Moscow Polytechnic University, Moscow, Russian Federation; Barakhanova, N., Department of Philology, Nerungri Technical Institute (branch) of North-Eastern Federal University, Nerungri, Russian Federation",Article,Scopus,2-s2.0-85158855594
"Galaktionova E.A., Zung L.C., Filippov Y.K., Gnevashev D.A.","58237001300;58236762700;57210702839;8909161800;","Dependence of the hardness value on the intensity of stresses and deformations during cold forging",2023,"Chernye Metally","2023","2",,"45","48",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158146721&doi=10.17580%2fchm.2023.02.07&partnerID=40&md5=7d91df5a3b242addb73327fdea501bc3","Moscow Polytechnic University, Moscow, Russian Federation","Galaktionova, E.A., Moscow Polytechnic University, Moscow, Russian Federation; Zung, L.C., Moscow Polytechnic University, Moscow, Russian Federation; Filippov, Y.K., Moscow Polytechnic University, Moscow, Russian Federation; Gnevashev, D.A., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85158146721
"Krasin V., Soyustova S.","6603621623;37013707800;","An Analysis of the Solute Interactions in Multicomponent Metallic Solution to Study the Liquid Metal Corrosion Mechanisms in Sodium",2023,"Materials Science Forum","1083",,,"217","224",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158138896&doi=10.4028%2fp-7xr5x4&partnerID=40&md5=1283842195cc24a929d08773356db5a5","Moscow Polytechnic University, 38, Bolshaya Semenovskaya St., Moscow, 107023, Russian Federation","Krasin, V., Moscow Polytechnic University, 38, Bolshaya Semenovskaya St., Moscow, 107023, Russian Federation; Soyustova, S., Moscow Polytechnic University, 38, Bolshaya Semenovskaya St., Moscow, 107023, Russian Federation",Book Chapter,Scopus,2-s2.0-85158138896
"Polevoy G.G.","57204190389;","The influence of Burpee on the volume of attention of schoolchildren",2023,"Bangladesh Journal of Medical Science","22","2",,"392","397",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158100494&doi=10.3329%2fbjms.v22i2.65001&partnerID=40&md5=f50ab8244b0d57bd61847e323784025d","Department of Physical Education, Moscow Aviation Institute (National Research University) and Department of Physical Education, Moscow Polytechnic University, Moscow, Russian Federation","Polevoy, G.G., Department of Physical Education, Moscow Aviation Institute (National Research University) and Department of Physical Education, Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85158100494
"Kostyukov A.V., Kosach L.A.","58297538000;57205459363;","Heat Transfer Slot Matrix for Compact Rotary Heat Exchangers with Ultra-High Regeneration Ratio for Microturbines [Matrice cu fantă și curea de transfer de căldură pentru schimbătoare de căldură rotative compacte cu o rată de regenerare ultra-înaltă pentru microturbine] [Теплопередающая ленточно-щелевая матрица для компактных роторных теплообменников со сверхвысокой степенью регенерации для микротурбин]",2023,"Problems of the Regional Energetics","57","1",,"126","133",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158045811&doi=10.52254%2f1857-0070.2023.1-57.10&partnerID=40&md5=863cf9d78562c02abb246afc83d0fd8f","Moscow Polytechnic University, Moscow, Russian Federation","Kostyukov, A.V., Moscow Polytechnic University, Moscow, Russian Federation; Kosach, L.A., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85158045811
"Ashrafi A., Mokhnachev V., Philippovich Y., Harlamenkov A., Chernenko S.","57221096741;57221084994;56441750400;58220707900;57205096433;","Russian Sign Language Recognition Using MediaPipe",2023,"Studies in Systems, Decision and Control","457",,,"299","313",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156146914&doi=10.1007%2f978-3-031-22938-1_21&partnerID=40&md5=dc7258be83300749005f77b749907840","Moscow Polytechnic University, Moscow, 107023, Russian Federation","Ashrafi, A., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Mokhnachev, V., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Philippovich, Y., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Harlamenkov, A., Moscow Polytechnic University, Moscow, 107023, Russian Federation; Chernenko, S., Moscow Polytechnic University, Moscow, 107023, Russian Federation",Book Chapter,Scopus,2-s2.0-85156146914
"Letyagin N.V., Akopyan T.K., Nguen Z., Sviridova T.A., Koshmin A.N., Aksenov A.A.","57201442748;55809950100;57265194900;7005343651;57201582427;7005446476;","The Effect of La on the Microstructure and Mechanical Properties of the (Al) + Al4(Ca,La) Wrought Alloys",2023,"Physics of Metals and Metallography","124","1",,"80","86",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156100552&doi=10.1134%2fS0031918X22602037&partnerID=40&md5=d59375c9ef43ee692c3e72f6a3b3a6c7","National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Moscow Polytechnic University, Moscow, 107023, Russian Federation","Letyagin, N.V., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Akopyan, T.K., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation, Moscow Polytechnic University, Moscow, 107023, Russian Federation; Nguen, Z., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Sviridova, T.A., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Koshmin, A.N., National University of Science and Technology MISiS, Moscow, 119049, Russian Federation; Aksenov, A.A., Moscow Polytechnic University, Moscow, 107023, Russian Federation",Article,Scopus,2-s2.0-85156100552
"Iskhakova E.F., Sukhorukova E.V., Badeeva M.Yu., Dyakova E.V., Lapshina S.A., Beketova T.V., Abdulganieva D.I.","58209683300;57222431942;58209531500;57953559300;35603635300;7003535611;39161040600;","COVID-19 IN A PATIENT WITH GRANULOMATOSIS WITH POLYANGIITIS: MANAGEMENT TACTICS [COVID-19 у больной гранулематозом с полиангиитом: вопросы тактики ведения]",2023,"Nauchno-Prakticheskaya Revmatologiya","61","1",,"42","46",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154609738&doi=10.47360%2f1995-4484-2023-42-46&partnerID=40&md5=9dcac0584c2b48a2f24499a410c6c4c2","Kazan State Medical University, Butlerov str., 49, Kazan, 420012, Russian Federation; Republican Clinical Hospital of the Ministry of Health of the Republic of Tatarstan, Orenburgskiy tract, 138, Kazan, 420064, Russian Federation; V.A. Nasonova Research Institute of Rheumatology, Kashirskoye Highway, 34A, Moscow, 115522, Russian Federation; Central Clinical Hospital of the Administrative Directorate of the President of the Russian Federation, Marshala Timoshenko str., 15, Moscow, 121359, Russian Federation; Moscow Polytechnic University, Bolshaya Semyonovskaya str., 38, Moscow, 107023, Russian Federation","Iskhakova, E.F., Kazan State Medical University, Butlerov str., 49, Kazan, 420012, Russian Federation; Sukhorukova, E.V., Republican Clinical Hospital of the Ministry of Health of the Republic of Tatarstan, Orenburgskiy tract, 138, Kazan, 420064, Russian Federation; Badeeva, M.Yu.; Dyakova, E.V.; Lapshina, S.A., Kazan State Medical University, Butlerov str., 49, Kazan, 420012, Russian Federation; Beketova, T.V., V.A. Nasonova Research Institute of Rheumatology, Kashirskoye Highway, 34A, Moscow, 115522, Russian Federation, Central Clinical Hospital of the Administrative Directorate of the President of the Russian Federation, Marshala Timoshenko str., 15, Moscow, 121359, Russian Federation, Moscow Polytechnic University, Bolshaya Semyonovskaya str., 38, Moscow, 107023, Russian Federation; Abdulganieva, D.I., Kazan State Medical University, Butlerov str., 49, Kazan, 420012, Russian Federation",Article,Scopus,2-s2.0-85154609738
"Komissarenko A.N., Matisen A.B., Varshavskiy A.A.","58066050700;57850359000;58204821000;","Temperature Monitoring of Charge Air at the Diesel Intake",2023,"Russian Engineering Research","43","1",,"49","51",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154056915&doi=10.3103%2fS1068798X2302017X&partnerID=40&md5=73b6b1c711bb745208cc8517f6d7d56b","Kolomna Institute, Moscow Polytechnic University, Kolomna, Russian Federation; Engine Engineering Center (Transmashholding), Kolomna, Russian Federation","Komissarenko, A.N., Kolomna Institute, Moscow Polytechnic University, Kolomna, Russian Federation; Matisen, A.B., Kolomna Institute, Moscow Polytechnic University, Kolomna, Russian Federation; Varshavskiy, A.A., Engine Engineering Center (Transmashholding), Kolomna, Russian Federation",Article,Scopus,2-s2.0-85154056915
"Kim T.K., Pleshakov A.A., Kuzmenko G.A., Ivankov C.T.","57201356602;57204951466;57198802398;57214447799;","STRUCTURAL-CONTENTAL DEFINITENESS OF ACTUALIZATION OF ATHLETES' THINKING TYPES IN THE CONTEXT OF THE SYSTEM-ACTIVITY APPROACH",2023,"Teoriya i Praktika Fizicheskoy Kultury","2023","2",,"60","63",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153885630&partnerID=40&md5=e83a90d8a54ae5a74d23e839abc3f851","Moscow Pedagogical State University, Moscow, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Kim, T.K., Moscow Pedagogical State University, Moscow, Russian Federation, Moscow Polytechnic University, Moscow, Russian Federation; Pleshakov, A.A., Moscow Polytechnic University, Moscow, Russian Federation; Kuzmenko, G.A., Moscow Pedagogical State University, Moscow, Russian Federation; Ivankov, C.T., Moscow Pedagogical State University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85153885630
"Trutnev N.S., Sokolov A.S., Buzdalina I.A.","14020923000;57197324298;6504098746;","Computer Simulation of the Hydrodynamics of a Centrifugal Cryogranulator",2023,"Chemical and Petroleum Engineering","58","9-10",,"865","870",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153884407&doi=10.1007%2fs10556-023-01174-9&partnerID=40&md5=68791344d8aa08289a1bfa6d96a39b85","Moscow Polytechnic University, Moscow, Russian Federation","Trutnev, N.S., Moscow Polytechnic University, Moscow, Russian Federation; Sokolov, A.S., Moscow Polytechnic University, Moscow, Russian Federation; Buzdalina, I.A., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85153884407
"Bolshakov V.V., Kim T.K., Kuzmenko G.A., Korneev E.V.","58202411200;57201356602;57198802398;58202055000;","ESSENTIAL DESCRIPTIVE CHARACTERISTICS OF THE CROWN HOLD AS A FACTOR OF SUBJECTIVITY OF A SPORTSMAN MARTIAL ARTISTS",2023,"Teoriya i Praktika Fizicheskoy Kultury","2023","3",,"24","26",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153881966&partnerID=40&md5=67fb7ccbb217c11f9906e67d7e287dfd","Moscow Pedagogical State University, Moscow, Russian Federation; Moscow Polytechnic University, Moscow, Russian Federation","Bolshakov, V.V., Moscow Pedagogical State University, Moscow, Russian Federation; Kim, T.K., Moscow Pedagogical State University, Moscow, Russian Federation, Moscow Polytechnic University, Moscow, Russian Federation; Kuzmenko, G.A., Moscow Pedagogical State University, Moscow, Russian Federation; Korneev, E.V., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85153881966
"Golovanov I.Y., Lagutkin N.G.","57221737343;58202477700;","Determination of Physicomechanical Characteristics of Raschig Rings and Substantiation of Wall Thickness of Fluoroplastic Raschig Rings for Operation under Sulfuric Acid Production Conditions",2023,"Chemical and Petroleum Engineering","58","9-10",,"751","756",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153869971&doi=10.1007%2fs10556-023-01157-w&partnerID=40&md5=de7daaa1d712864441fbe13d752839f2","Moscow Polytechnic University, Moscow, Russian Federation","Golovanov, I.Y., Moscow Polytechnic University, Moscow, Russian Federation; Lagutkin, N.G., Moscow Polytechnic University, Moscow, Russian Federation",Article,Scopus,2-s2.0-85153869971
